,date_time,measure_position_id,pm10_value,pm25_value,latitude,longitude,new_longitude,new_latitude
51,2023-08-24 04:00:00,4.0,9.0,3.0,33.409109,126.268778,0.14254885312973897,0.5811294527946416
52,2023-08-24 04:00:00,5.0,12.0,4.0,33.51733013,126.57045614,0.5459131039370106,0.9279007991807333
53,2023-08-24 04:00:00,6.0,17.0,9.0,33.246244,126.56506,0.5386980966834187,0.059263571989546904
54,2023-08-24 04:00:00,7.0,16.0,13.0,33.460229,126.91007,1.0,0.7449325033380632
55,2023-08-24 04:00:00,8.0,20.0,6.0,33.2843415,126.715115,0.7393318670151814,0.1813388207782367
56,2023-08-24 04:00:00,9.0,18.0,9.0,33.2508702,126.489923,0.4382348025484646,0.07408723537812989
57,2023-08-24 04:00:00,10.0,11.0,4.0,33.2277489,126.2473589,0.11391005542148491,0.0
58,2023-08-24 04:00:00,11.0,12.0,6.0,33.4838002,126.4746922,0.4178701840474446,0.8204613465495072
59,2023-08-24 04:00:00,12.0,11.0,7.0,33.292471,126.162165,0.0,0.20738805589938636
60,2023-08-24 05:00:00,1.0,11.0,5.0,33.500116,126.532371,0.4949906739492178,0.8727418201812895
61,2023-08-24 05:00:00,2.0,6.0,4.0,33.48863,126.500055,0.4517819776575891,0.8359374023694528
62,2023-08-24 05:00:00,3.0,20.0,7.0,33.539831,126.64412,0.6444067094082868,1.0
63,2023-08-24 05:00:00,4.0,6.0,3.0,33.409109,126.268778,0.14254885312973897,0.5811294527946416
64,2023-08-24 05:00:00,5.0,12.0,3.0,33.51733013,126.57045614,0.5459131039370106,0.9279007991807333
65,2023-08-24 05:00:00,6.0,22.0,10.0,33.246244,126.56506,0.5386980966834187,0.059263571989546904
66,2023-08-24 05:00:00,7.0,16.0,12.0,33.460229,126.91007,1.0,0.7449325033380632
67,2023-08-24 05:00:00,8.0,12.0,5.0,33.2843415,126.715115,0.7393318670151814,0.1813388207782367
68,2023-08-24 05:00:00,9.0,18.0,6.0,33.2508702,126.489923,0.4382348025484646,0.07408723537812989
69,2023-08-24 05:00:00,10.0,6.0,3.0,33.2277489,126.2473589,0.11391005542148491,0.0
70,2023-08-24 05:00:00,11.0,9.0,3.0,33.4838002,126.4746922,0.4178701840474446,0.8204613465495072
71,2023-08-24 05:00:00,12.0,12.0,5.0,33.292471,126.162165,0.0,0.20738805589938636
72,2023-08-24 06:00:00,1.0,6.0,4.0,33.500116,126.532371,0.4949906739492178,0.8727418201812895
73,2023-08-24 06:00:00,2.0,4.0,3.0,33.48863,126.500055,0.4517819776575891,0.8359374023694528
74,2023-08-24 06:00:00,3.0,9.0,5.0,33.539831,126.64412,0.6444067094082868,1.0
75,2023-08-24 06:00:00,4.0,6.0,1.0,33.409109,126.268778,0.14254885312973897,0.5811294527946416
76,2023-08-24 06:00:00,5.0,13.0,3.0,33.51733013,126.57045614,0.5459131039370106,0.9279007991807333
77,2023-08-24 06:00:00,6.0,2.0,7.0,33.246244,126.56506,0.5386980966834187,0.059263571989546904
78,2023-08-24 06:00:00,7.0,16.0,11.0,33.460229,126.91007,1.0,0.7449325033380632
79,2023-08-24 06:00:00,8.0,18.0,6.0,33.2843415,126.715115,0.7393318670151814,0.1813388207782367
80,2023-08-24 06:00:00,9.0,11.0,6.0,33.2508702,126.489923,0.4382348025484646,0.07408723537812989
81,2023-08-24 06:00:00,10.0,4.0,3.0,33.2277489,126.2473589,0.11391005542148491,0.0
82,2023-08-24 06:00:00,11.0,9.0,1.0,33.4838002,126.4746922,0.4178701840474446,0.8204613465495072
83,2023-08-24 06:00:00,12.0,8.0,4.0,33.292471,126.162165,0.0,0.20738805589938636
84,2023-08-24 07:00:00,1.0,8.0,3.0,33.500116,126.532371,0.4949906739492178,0.8727418201812895
